participant,duration,energy,power,min_pitch,max_pitch,mean_pitch,pitch_sd,pitch_abs,pitch_quant,pitchUvsVRatio,Time:8,iDifference,diffPitchMaxMin,diffPitchMaxMean,diffPitchMaxMode,intensityMin,intensityMax,intensityMean,intensitySD,intensityQuant,diffIntMaxMin,diffIntMaxMean,diffIntMaxMode,avgVal1,avgVal2,avgBand1,avgBand2,fmean1,fmean2,fmean3,f2meanf1,f3meanf1,f1STD,f2STD,f3STD,f2STDf1,f2STDf2,jitter,shimmer,jitterRap,meanPeriod,percentUnvoiced,numVoiceBreaks,PercentBreaks,speakRate,numPause,maxDurPause,avgDurPause,TotDurPause:3,iInterval,MaxRising:3,MaxFalling:3,AvgTotRis:3,AvgTotFall:3,numRising,numFall,loudness
P1,34.186795833333335,0.011509758277935881,0.0003327213246468,78.06429425583478,340.5164536423034,129.3076388350037,25.242104125741548,176.17638307015608,121.94302567699636,0.9519038102608969,34.160272918,49.30586623377057,262.4521593864687,211.20881480729972,218.57342796530708,36.418034415003014,72.71934585251302,59.15763921151256,8.449370242798187,53.734580354034144,36.301311437510016,13.561706641000459,18.984765498478883,654.8917530657976,1823.9910163260247,418.1634385813515,474.386856457661,654.891753065798,1823.9910163260254,2752.0478502174965,2.7912077861749047,4.210417669306731,304.5650817165968,397.7968767269523,393.30887108566066,1.3103354156265865,1.3000459513310518,0.02335399999999998,0.176002,0.012587999999999998,0.007757053999999999,0.422898,86.4,0.43293799999999993,0.0007474804032581601,35.0,2.3125333333333336,0.5312,17.998399999999997,87.8,211.46660000000003,186.2474,20.418599999999998,13.812000000000001,59.2,2885.361923995485,
P10,77.3786125,0.03211807084174162,0.00040380355788366,74.78777188547413,345.93534705346167,112.955695522739,25.915805600889776,166.26580377779337,106.68148256055497,0.8252422685554521,77.35180625000001,19.723066308546485,271.14757516798755,232.97965153072263,239.25386449290667,35.44603137925848,72.98379723024206,59.93111149612393,9.678953175086223,53.240646145080724,37.53776585098358,13.05268573411812,19.743151085161344,678.7125655226885,1845.3708433757638,463.8295562587229,607.8954103594639,678.7125655226885,1845.370843375766,2843.7097564251653,2.7241877913286183,4.2008248380923945,371.30998985494455,452.8145423393701,420.96853750531244,1.2215820149250551,1.1347188202485308,0.017720000000000003,0.16199399999999997,0.009056,0.0088940876,0.40653799999999995,149.4,0.411714,0.00029374409335138,58.0,2.5024,0.7232000000000001,39.8548,159.8,231.79720000000003,222.045,23.4998,17.217599999999997,114.4,4560.598782002586,
P11,50.43133333333333,0.00722040286333836,0.0001339143313954427,73.60558674659117,384.00452415846496,186.5244016977725,35.91164812112192,226.35357924562612,183.79201139425086,0.6286105110280548,50.405666667999995,83.85467949649454,310.3989374118738,197.48012246069243,200.21251276421407,34.93970798976081,68.13124839164718,55.142723734217235,7.188653823371256,51.75748354678541,33.19154040188637,12.988524657429949,16.373764844861775,659.6056179012361,1837.2630323839996,391.7697730376087,537.2897422920622,659.6056179012363,1837.2630323839996,2867.6943801631596,2.7858673230801925,4.348037239395291,281.8184366608859,394.67393249354944,380.67438633644736,1.4005470585902982,1.3520271220559679,0.017442,0.16082399999999997,0.009364,0.0053551622,0.333298,120.8,0.36711599999999994,0.00035970447850208,47.4,2.998189583333334,0.5326,25.752999999999997,127.8,176.2874,203.07139999999998,24.309800000000003,15.5036,84.4,4359.2235729705335,
P12,35.91044166666667,0.00800521601620902,0.00020499556971616002,73.70641425597859,326.3463987352232,181.00669273155577,40.49445758413659,266.1102112890755,184.08150094119136,0.8043795260303517,35.884595832,63.350111611032744,252.6399844792446,145.33970600366743,142.2648977940318,33.17267843038159,72.56256395359358,56.99071696773062,7.800502317974187,51.46203482554449,39.389885523212,15.57184698586297,21.100529128049093,657.286596814755,1752.0444631995044,464.18314451044387,573.3844162788162,657.2865968147552,1752.0444631995047,2818.2170753437713,2.6666300767771056,4.288330084364352,349.31279128350445,423.43577838336734,448.213032866352,1.21785199438293,1.2857561841794225,0.018571999999999998,0.153002,0.009678,0.00551237,0.385336,92.2,0.39749799999999996,0.0005732578785535601,24.0,4.592918749999998,0.9795999999999999,24.3694,94.8,152.8112,148.5378,25.607,27.037200000000002,53.4,4160.100665032834,
P13,51.04985833333333,0.0016175233972239,2.9278237474844768e-05,75.1415981321392,332.370097186444,181.15610482217448,41.081781265296385,249.15493776489816,189.41658666431826,1.1124068189221454,51.023054168,55.825700432130645,257.22849905430473,151.2139923642695,142.95351052212573,31.83158483994161,61.57682010646236,48.55454273135889,6.242897634283118,44.608056676531206,29.745235266520744,13.022277375103467,16.96876342993115,621.261380757141,1898.7575569805497,492.083382148208,678.4766697891343,621.2613807571408,1898.7575569805485,2939.5740630759033,3.058960400688157,4.735106903558076,360.28972226303654,380.02427274013183,410.5944952175034,1.0593682197723504,1.143551162681473,0.022278,0.171692,0.01197199999999996,0.0055028154,0.448168,113.8,0.49184,0.00048661353443413995,37.0,2.6508249999999998,0.6952,25.077199999999998,118.6,186.6008,166.8634,31.682,19.6138,77.4,420.37142429335773,
P14,42.79725833333333,0.01151358937708422,0.00026275992845912,75.49096866304676,384.9558911315672,192.32651723862142,44.02081903828192,241.956463138223,187.60417736344365,0.970134279482522,42.771129168,163.8481860175521,309.4649224685205,192.6293738929458,197.3517137681236,34.666896164718445,73.45942180390799,57.75763669916379,7.782636542903466,52.655151963788306,38.79252563918955,15.7017851047442,20.804269840119684,690.1054327761846,1970.312359913405,481.94276440973,616.7041837259162,690.1054327761847,1970.312359913404,3011.0756779297526,2.857501984307149,4.367879527753263,369.4052550521045,396.0838908267252,395.06857777086935,1.075142257478128,1.0701030377518586,0.021052,0.154732,0.01108,0.0052009362,0.4194159999999999,102.2,0.456476,0.0005776558354899,39.6,2.1217208333333337,0.623,24.878,105.8,229.6732,199.878,26.1658,20.5398,62.2,4380.94512511265,
P15,85.9143,0.011883792791501941,0.00013617602899216,69.31472114130614,403.3664343028728,170.82746014251168,42.59668721306093,230.651946027565,169.3193641111787,0.9976576840810711,85.887775,68.16973780866626,334.0517131615666,232.53897416036108,234.04707019169405,33.79690980935211,70.18254541648209,55.255877513401344,7.7838485061078115,50.91195079295831,36.38563560712998,14.926667903080737,19.270594623523785,642.3252926319235,1829.308624192785,428.08280396096177,534.6619467748459,642.3252926319236,1829.3086241927845,2844.8405480704046,2.8490903105169894,4.430299400606106,329.2107801832069,394.80035622895946,376.51454956720914,1.2014798732098417,1.1437170565288879,0.02033599999999998,0.16069,0.010724000000000001,0.0058537138,0.429338,206.4,0.4918620000000001,0.00024047173722158,75.8,2.5813333333333306,0.595,44.528000000000006,215.6,252.04059999999998,253.3656,27.481600000000004,22.3756,118.4,9738.42317178959,
P16,93.3723,0.01374380346014702,0.0001405113210916524,79.78842206245392,391.11859872843445,218.64393563602925,39.54113940702192,215.05796814709055,210.66031286053402,1.0942101892433211,93.345525,70.54246865566815,311.3301766659805,172.47466309240522,180.45828586790043,33.25027552147986,71.60060543235065,55.209730729170396,7.825686196563825,50.38928025433843,38.350329910870784,16.39087470318024,21.21132517801221,663.4149723048212,1890.8996602091909,468.1042207287819,571.1405141000793,663.4149723048218,1890.8996602091895,2978.3438612261657,2.8544364899677137,4.495487265547384,328.8663971436496,393.55588030796423,356.4382280404919,1.1991680854407574,1.0855228779094452,0.01971399999999996,0.16197599999999998,0.010539999999999999,0.0045730712,0.470322,213.0,0.493382,0.00028423368242454,78.2,3.9744000000000015,0.6692,52.1648,225.0,237.56900000000002,228.40859999999998,25.1488,16.8984,148.2,7699.235905547156,
P17,48.09298333333333,0.00482033529203226,8.477996220626486e-05,78.35446008966105,379.79867593436586,185.05851730434568,68.88499517975735,229.9713231850197,184.69863116963597,2.381469218036075,48.065866668,32.30781863208236,301.44421584470484,194.74015863002018,195.10004476472992,32.987583781848834,69.46120354293836,51.628605021650436,6.87348325209111,44.13341065082966,36.47361976108954,17.83259852128793,25.327792892108707,698.5159142693078,1887.4017186176093,602.2895966035619,712.3782441288424,698.5159142693084,1887.4017186176116,3018.5272856221522,2.7076084745557387,4.335775683103567,372.5947516498175,417.10323540727603,392.3197600627856,1.13098683984792,1.0605456650907434,0.020207999999999997,0.16539399999999999,0.010981999999999981,0.0054974446,0.6258239999999999,91.2,0.5937680000000001,0.00076224204507,25.2,7.828566666666669,1.3219999999999998,32.1306,96.8,214.9776,198.267,33.3442,30.9428,54.2,3752.889458382038,
P20,41.0785125,0.0018881299018781602,4.349469920493034e-05,78.49118298738895,380.42371664152313,200.199613174693,56.06703107693916,289.83425309381016,209.38191005204743,1.0676007099267522,41.05175625,63.461872305263206,301.9325336541342,180.22410346683017,171.0418065894757,33.420524704133605,63.18298111012389,50.178805318992914,6.525551063104965,45.91164127005287,29.762456405990275,13.004175791130962,17.271339840071,678.7259946058473,1877.672580185535,560.7708745477433,743.366741995313,678.7259946058473,1877.672580185536,2973.0819847101434,2.7673193326131953,4.3831692207481545,378.50244939434015,410.5257605385494,411.84143691262545,1.087994865436922,1.0897958750920487,0.029518,0.164628,0.016206,0.0049930894,0.454452,85.2,0.507674,0.00056831095890492,31.8,3.857066666666667,0.6452,21.357999999999997,87.0,163.6164,199.0892,31.587,31.1396,50.0,2234.014316980186,
P21,100.3475375,0.0134427851379092,0.00014248109445174,74.20745505958669,404.65139465610645,201.69863552387838,38.21274570186171,216.58279126722263,194.22053341109014,0.8038950424389337,100.32126875,31.577548151991316,330.4439395965197,202.9527591322281,210.43086124501625,33.69220955687127,70.70461218359449,55.31076605594377,7.558334366572287,50.92034997925872,37.012402626723215,15.39384612765071,19.784262204335768,681.577969331561,1861.9535370664053,453.6670844060727,575.4338301737284,681.5779693315612,1861.953537066404,2967.759813012717,2.7356533391678957,4.361146164654167,324.49237934431346,448.6920026533638,377.1266199578409,1.3891394497216916,1.1643223451759508,0.01769,0.148858,0.009340000000000001,0.0049635002,0.387122,190.4,0.414768,0.00020163110464787998,78.0,5.489066666666666,0.6688,54.702,197.4,213.2706,260.0356,24.7214,17.6904,122.0,7559.389443777525,
